"station_id","name","lat","lon"
"220","Four Mile Run Dr & S Shirlington Rd",38.8444,-77.085931
"221","Columbia Pike & S Oakland St",38.860789,-77.09586
"222","Four Mile Run Dr & S Walter Reed Dr",38.84736,-77.095431
"223","S Arlington Mill Dr & Campbell Ave",38.84232,-77.089555
"224","Kenmore St & 24th St S",38.848454,-77.084918
"225","13th St & Eastern Ave",38.987,-77.029417
"226","Wisconsin Ave & O St NW",38.90849,-77.063586
"227","Roosevelt Island",38.896553,-77.06714
"228","Connecticut & Nebraska Ave NW",38.955016,-77.069956
"229","17th St & Massachusetts Ave NW",38.908142,-77.038359
"230","15th & Euclid St  NW",38.92333,-77.0352
"231","8th & East Capitol St NE",38.889988,-76.995193
"232","New Jersey Ave & R St NW",38.912659,-77.017669
"233","15th & East Capitol St NE",38.889908,-76.983326
"234","8th & F St NE",38.897274,-76.994749
"235","18th St & Rhode Island Ave NE",38.927095,-76.978924
"236","15th & F St NE",38.897195,-76.983575
"237","12th & Irving St NE",38.928644,-76.990955
"239","Alabama & MLK Ave SE",38.8432298873083,-76.9993758201599
"240","Pleasant St & MLK Ave SE",38.863897,-76.990037
"241","Neal St & Trinidad Ave NE",38.903732,-76.987211
"242","12th & U St NW",38.916787,-77.028139
"243","S George Mason & Four Mile Run Dr",38.852248,-77.105022
"244","Gravelly Point",38.865029,-77.039511
"245","Pershing Dr & Wayne St",38.880705,-77.08596
"246","Columbia Pike & S Orme St",38.867262,-77.072315
"247","3rd St & Pennsylvania Ave SE",38.887378,-77.001955
"248","8th & D St NW",38.894851,-77.02324
"249","3rd & Elm St NW",38.917622,-77.01597
"250","Rhode Island Ave & V St NE",38.918155,-77.004746
"251","Constitution Ave & 2nd St NW/DOL",38.892275,-77.013917
"252","Washington & Independence Ave SW/HHS",38.886978,-77.013769
"253","Independence Ave & L'Enfant Plaza SW/DOE",38.887312,-77.025762
"254","Hamlin & 7th St NE",38.927497,-76.997194
"255","Columbia Pike & S Walter Reed Dr",38.862478,-77.086599
"256","Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St",38.856319,-77.11153
"257","Pershing Dr & N George Mason Dr",38.871822,-77.107906
"258","Fenton St & New York Ave ",38.985404,-77.023082
"259","Bethesda Ave & Arlington Rd",38.981103,-77.097426
"260","Montgomery Ave & Waverly St ",38.983838,-77.09221
"261","Fallsgrove Blvd & Fallsgrove Dr",39.096312,-77.192672
"262","Traville Gateway Dr & Gudelsky Dr",39.093783,-77.202501
"263","Norfolk Ave & Fairmont St",38.988562,-77.096539
"264","E Montgomery Ave & Maryland Ave",39.084125,-77.151291
"265","Cordell & Norfolk Ave",38.98954,-77.098029
"266","Frederick Ave & Horners Ln",39.094772,-77.145213
"267","Philadelphia & Maple Ave",38.98128,-77.011336
"268","Maple & Ritchie Ave",38.983627,-77.006311
"269","Silver Spring Metro / Colesville Rd & Wayne Ave",38.9948958031902,-77.0295318961143
"270","Montgomery & East Ln",38.983525,-77.095367
"271","Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir",38.961763,-77.085998
"272","14th & Belmont St NW",38.921074,-77.031887
"273","3rd & Tingey St SE",38.87501,-77.0024
"274","10th & Florida Ave NW",38.920387,-77.025672
"275","Potomac Ave & 8th St SE",38.876737,-76.994468
"276","Crabbs Branch Way & Redland Rd",39.120045,-77.156985
"277","Fallsgrove Dr & W Montgomery Ave",39.099376,-77.188014
"278","Monroe St & Monroe Pl",39.083673,-77.149162
"279","Needwood Rd & Eagles Head Ct",39.123513,-77.15741
"280","East West Hwy & Blair Mill Rd",38.990249,-77.02935
"281","Crabbs Branch Way & Calhoun Pl",39.107709,-77.152072
"282","47th & Elm St",38.982456,-77.091991
"283","Dennis Ave & Amherst Ave",39.0253871962363,-77.0445629954338
"284","Montgomery College / W Campus Dr & Mannakee St",39.095661,-77.159048
"285","Fenton St & Gist Ave",38.989724,-77.023854
"286","Carroll & Westmoreland Ave",38.975,-77.01121
"287","Carroll & Ethan Allen Ave",38.977933,-77.006472
"288","Battery Ln & Trolley Trail",38.992375,-77.100104
"289","Norfolk & Rugby Ave",38.990639,-77.100239
"290","Offutt Ln & Chevy Chase Dr",38.977093,-77.094589
"291","Broschart & Blackwell Rd",39.102099,-77.200322
"292","Taft St & E Gude Dr",39.094103,-77.132954
"293","Fleet St & Ritchie Pkwy",39.076331,-77.141378
"294","Piccard & W Gude Dr",39.102212,-77.177091
"296","Georgia Ave & Spring St",38.999388,-77.031555
"297","Fenton St & Ellsworth Dr ",38.997033,-77.025608
"298","King Farm Blvd & Pleasant Dr",39.114688,-77.171487
"299","King Farm Blvd & Piccard Dr",39.110314,-77.182669
"301","Calvert St & Woodley Pl NW",38.923583,-77.050046
"302","New Jersey Ave & N St NW/Dunbar HS",38.9073325611145,-77.0153604447842
"303","Nannie Helen Burroughs Ave & 49th St NE",38.898536,-76.931862
"304","Deanwood Rec Center",38.908473,-76.933099
"305","Hains Point/Buckeye & Ohio Dr SW",38.878433,-77.03023
"306","Arlington Blvd & Fillmore St",38.873755,-77.089233
"307","Eads St & 12th St S",38.862753,-77.05428
"308","Old Georgetown Rd & Southwick St",38.999634,-77.109647
"309","Friendship Blvd & Willard Ave",38.96115,-77.088659
"310","North Capitol St & G Pl NE",38.899703,-77.008911
"311","31st St & S Woodrow St",38.837666,-77.09482
"312","Washington Blvd & Walter Reed Dr ",38.873219,-77.082104
"313","TJ Cmty Ctr / 2nd St & S Old Glebe Rd",38.869418,-77.095596
"314","Connecticut Ave & Tilden St NW",38.9411391565301,-77.061977237463
"315","Medical Center Dr & Key West Ave",39.103091,-77.196442
"316","Shady Grove Hospital",39.097636,-77.196636
"317","Veterans Pl & Pershing Dr ",38.997445,-77.023894
"318","Rockville Metro East",39.085394,-77.145803
"319","1st & H St NW",38.900358,-77.012108
"320","Fort Totten Metro",38.952369,-77.002721
"321","Takoma Metro",38.975219,-77.016855
"322","Rhode Island Ave Metro",38.920682,-76.995876
"323","Rolfe St & 9th St S",38.866471,-77.076131
"324","Shirlington Transit Center / Quincy St & Randolph St",38.839912,-77.087083
"325","Shady Grove Metro West",39.119765,-77.166093
"326","River Rd & Landy Ln",38.964992,-77.103381
"327","Rockville Metro West",39.084379,-77.146866
"328","Bethesda Metro / Wisconsin Ave & Old Georgetown Rd",38.984691,-77.094537
"329","Iwo Jima Memorial / Meade & 14th St N",38.88992,-77.071301
"330","34th & Water St NW",38.9036626900505,-77.0676684380669
"331","Duke St & John Carlyle St",38.804378,-77.060866
"332","Lee Hwy & N Cleveland St",38.894941,-77.09169
"333","Arlington Blvd & S George Mason Dr",38.869442,-77.104503
"334","10th & G St NW",38.8982432877485,-77.026235461235
"335","Lee Hwy & N Scott St",38.897612,-77.080851
"336","New Hampshire Ave & 24th St NW",38.901755,-77.051084
"337","Eisenhower Ave & Mill Race Ln",38.801111,-77.068952
"338","Potomac Greens Dr & Slaters Ln",38.82175,-77.047494
"339","Ballenger Ave & Dulaney St",38.802677,-77.063562
"340","Mount Vernon Ave & E Nelson Ave",38.820064,-77.057619
"341","Mount Vernon Ave & E Del Ray Ave",38.82595,-77.058541
"342","Monroe Ave & Leslie Ave",38.820932,-77.053096
"343","Mount Vernon Ave & Kennedy St",38.833077,-77.059821
"344","Court House Metro / 15th St & N Uhle St",38.890612,-77.084801
"345","WAU / Flower Ave & Division St",38.986743,-77.000035
"346","Long Bridge Park / Long Bridge Dr & 6th St S",38.865553,-77.05003
"347","Connecticut Ave & McKinley St NW",38.9645435092459,-77.0751348137856
"348","15th & L St NW",38.90366,-77.034846
"349","17th & G St NW",38.8982996492118,-77.039732336998
"350","Spring St & 2nd Ave",38.997653,-77.034499
"351","18th & R St NW",38.912648,-77.041834
"352","Joyce St & 16th St S",38.859254,-77.063275
"353","Union Market",38.907908,-76.99707
"354","Lee Hwy & N Monroe St",38.896456,-77.104562
"355","21st St & N Pierce St",38.898984,-77.078317
"356","Lee Hwy & N Kirkwood Rd",38.895377,-77.09713
"357","19th & G St NW",38.898412,-77.043182
"358","2nd St & Seaton Pl NE",38.9147511088312,-77.0035600662231
"359","Wilson Blvd & N Illinois St ",38.876528,-77.12712
"364","Army Navy Dr & S Nash St",38.8621502452149,-77.0681208372116
"365","31st & Water St NW",38.902814,-77.061043
"367","11th & S St NW",38.913761,-77.027025
"368","Walter Reed Dr & 8th St S",38.86612,-77.08787
"369","2nd & G St NE",38.89967,-77.003666
"370","8th & O St NW",38.90864,-77.02277
"371","Georgia & Missouri Ave NW",38.961339,-77.027855
"373","Oklahoma Ave & D St NE",38.894474,-76.974828
"374","Maryland Ave & E St NE",38.896134,-76.9929
"375","New York Ave & Hecht Ave NE",38.915604,-76.983683
"376","Yuma St & Tenley Circle NW",38.946182,-77.08059
"378","Key West Ave & Siesta Key Way",39.105295,-77.194774
"379","Lee Hwy & N Woodstock St",38.898301,-77.118009
"380","Saint Asaph St & Madison St",38.812718,-77.044097
"381","King St Metro North / Cameron St",38.80704,-77.059817
"382","Madison St & N Henry St",38.813485,-77.049468
"383","Medical Center Metro ",38.999378,-77.097882
"384","Washington Blvd & N Frederick St",38.884829,-77.127671
"385","Wisconsin Ave & Ingomar St NW",38.958267,-77.084636
"386","16th & Irving St NW",38.928893,-77.03625
"387","16th & R St NW",38.912652,-77.036278
"388","Lyttonsville Rd & Lyttonsville Pl",38.999679,-77.051168
"389","Woodmont Ave & Strathmore St",38.979875,-77.093522
"390","14th & L St NW",38.903658,-77.031737
"391","1st & O St NW",38.908643,-77.012365
"392","South Capitol & Atlantic St SW",38.831516,-77.008133
"393","18th & C St NW",38.893511,-77.041544
"394","22nd & P ST NW",38.909394,-77.048728
"395","East West Hwy & 16th St",38.995681,-77.038721
"396","Royal St & Wilkes St",38.799267,-77.0447
"397","14th & Girard St NW",38.925284,-77.032375
"398","Potomac Ave & Main Line Blvd",38.822738,-77.049265
"399","11th & O St NW",38.90843,-77.02714
"400","10th St & L'Enfant Plaza SW",38.8843227241466,-77.0260101556778
"401","Connecticut Ave & Yuma St NW",38.947156,-77.065115
"402","2nd St & Massachusetts Ave NE",38.894972,-77.003135
"403","Radford St & Osage St",38.828437,-77.086031
"404","East Falls Church Metro / Sycamore St & 19th St N",38.8853207197507,-77.1564272046089
"405","Kennebec St & 11th St N",38.880992,-77.135271
"406","Commonwealth Ave & Oak St",38.812711,-77.061715
"407","Commonwealth Ave & E Monroe Ave",38.8200582335422,-77.0628207921982
"408","4th St & Madison Dr NW",38.890493,-77.017253
"409","Henry Bacon Dr & Lincoln Memorial Circle NW",38.890544,-77.049379
"410","17th St & Independence Ave SW",38.888097,-77.038325
"411","Franklin St & S Washington St",38.798133,-77.0487
"412","Mount Vernon Ave & Four Mile Run Park",38.843422,-77.064016
"413","4th St & K St NW",38.9024055658419,-77.0160055160522
"414","Mount Vernon Ave & Bruce St",38.841291,-77.063093
"415","Lee Center",38.797557,-77.053766
"416","Powhatan St & Bashford Ln",38.818748,-77.047783
"417","Potomac Ave & Swann Ave",38.829545,-77.047844
"418","14th & Irving St NW",38.928552,-77.032224
"419","Vermont Ave & I St NW",38.901136451737,-77.0344510674477
"420","Wisconsin Ave & Brandywine St NW",38.949813,-77.080217
"421","24th & R St NE / National Arboretum",38.91263,-76.971923
"422","Division Ave & Foote St NE",38.897407,-76.925907
"423","16th & Q St SE / Anacostia HS",38.870695,-76.982359
"424","Spring Hill Metro",38.929261,-77.240654
"425","Westpark Dr & Leesburg Pike",38.92403,-77.235955
"427","Tysons One Pl & Chain Bridge Rd",38.919475,-77.221179
"428","Tysons Corner Station",38.920939,-77.222115
"429","Westpark & Jones Branch Dr",38.924437,-77.217664
"430","Jones Branch & Westbranch Dr",38.931911,-77.219261
"431","Westpark & Park Run Dr",38.928919,-77.225394
"432","Tysons West Transit Center",38.932636,-77.231825
"433","North Shore & Cameron Crescent Dr/Crescent Apartments",38.970046,-77.338686
"434","Town Center Pkwy & Bowman Towne Dr",38.962524,-77.361902
"435","Reston Regional Library",38.962095,-77.358815
"436","New Dominion Pkwy & Fountain Dr",38.960574,-77.356324
"437","Sunset Hills & Old Reston Ave",38.955079,-77.351649
"438","Reston Town Center Transit Station",38.957037,-77.359718
"439","1st & D St SE",38.884916,-77.005965
"440","Wiehle Ave & Reston Station Blvd",38.9492,-77.3368
"441","Library St & Freedom Dr",38.959633,-77.358741
"442","Sunset Hills Rd & Discovery Square",38.95534,-77.357611
"443","22nd St & Constitution Ave NW",38.892441,-77.048947
"444","61st St & Banks Pl NE",38.891805,-76.913563
"445","Temporary Rd & Old Reston Ave",38.960084,-77.353414
"446","Reston YMCA",38.955314,-77.368416
"447","Sunset Hills Rd & Isaac Newton Square",38.951443,-77.340377
"448","N Lynn St & Fairfax Dr",38.89386,-77.070862
"449","Georgia Ave & Piney Branch Rd NW",38.967505,-77.027976
"450","Greensboro & International Dr",38.923083,-77.227417
"451","Madison St & Fairfax St",38.812351,-77.040691
"452","Sligo Ave & Carroll Ln",38.990874,-77.016311
"453","15th & W St NW",38.919086,-77.034502
"454","12th St & Pennsylvania Ave SE",38.882489,-76.990121
"455","3rd St & Riggs Rd NE",38.957463,-77.002239
"456","Carlin Springs Rd & N Thomas St",38.876695,-77.112982
"457","Towers Crescent Dr & Tysons One Pl",38.915246,-77.220157
"458","6th & K St NE",38.9023512949794,-76.9983887672424
"459","Pooks Hill Rd & Linden Ave",39.014716,-77.107143
"460","Takoma Park Rec Center",38.98265,-76.988311
"461","New Hampshire & Kirklynn Ave",38.988101,-76.988422
"462","Wheaton Metro / Georgia Ave & Reedie Dr",39.038341,-77.051023
"463","Amherst Ave & Elkins St",39.044887,-77.047788
"464","Amherst Ave & Prichard Rd",39.035965,-77.048395
"465","Grandview & Blueridge Ave",39.043272,-77.053085
"466","Windham Ln & Amherst Ave",39.032029,-77.04735
"467","North Shore Dr & Village Rd",38.970412,-77.340787
"468","Town Center Pkwy & Sunset Hills Rd",38.9551705980449,-77.3630940914154
"469","3rd & Underwood St NW",38.968834,-77.016258
"470","18th & Monroe St NE",38.93293,-76.979517
"471","7th & E St SW",38.88345,-77.021741
"472","Shady Grove Metro East",39.121327,-77.164969
"473","Potomac & M St NW",38.905368,-77.065149
"474","Columbia & Ontario Rd NW",38.924088,-77.040787
"475","Washington-Liberty High School / N Stafford St & Generals Way",38.888282,-77.111066
"476","Westover Library / Washington Blvd & N McKinley Rd",38.886048,-77.142317
"477","Columbia Pike & S Taylor St",38.858524,-77.103728
"478","Columbus Ave & Tribeca St",39.126,-77.1673
"479","Columbus Ave & Gramercy Blvd",39.12333,-77.16486
"480","Reston Pkwy & Spectrum Dr",38.9642077410062,-77.3542803525925
"481","Key West Ave & Great Seneca Hwy",39.105642,-77.20386
"482","Virginia Ave & 25th St NW",38.8995,-77.054155
"483","15th & M St NW",38.905424,-77.034674
"484","11th & Girard St NW",38.925636,-77.027112
"485","Connecticut Ave & R St NW",38.912644,-77.04564
"486","Wilson Blvd & N Troy St",38.892556,-77.082089
"487","American University East Campus",38.936298,-77.087128
"488","15th St & Constitution Ave NW",38.892244,-77.033234
"489","22nd & H St NW",38.899104,-77.048946
"490","23rd & M St NW",38.905303,-77.050264
